CID,SMILES,PAINS_A,PAINS_B,PAINS_C,AllAssays_Active,AllAssays_Total,LuciferaseAssays_Active,LuciferaseAssays_Total,BetaLactamaseAssays_Active,BetaLactamaseAssays_Total,FluorescenceAssays_Active,FluorescenceAssays_Total
4871,CC(=CCC1=C(C2=C(C3=C1OC(C=C3)(C)C)OC=C(C2=O)C4=CC(=C(C=C4)O)O)O)C, ,catechol_A(92), ,53,499,3,62,1,10,17,235
7564,C1=CC=C(C=C1)NC2=CC=C(C=C2)N, ,anil_no_alk(40), ,48,852,8,140,2,74,22,501
7573,CC(C)NC1=CC=C(C=C1)NC2=CC=CC=C2, , ,anil_NH_alk_B(3),127,741,48,172,14,75,61,402
7577,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N, ,anil_no_alk(40),anil_di_alk_F(14),5,657,2,130,0,68,2,279
9076,CCOC1=CC=C(C=C1)N, ,anil_no_alk(40), ,8,527,1,127,1,67,3,277
13283,CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N, , ,anil_di_alk_F(14),10,698,0,113,0,48,0,406
14369,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=CC=C(C=C3)Br, ,keto_keto_beta_A(68), ,19,629,12,119,0,55,2,358
14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-], ,het_pyridiniums_A(39), ,261,795,68,162,23,77,109,347
17561,C1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3, , ,keto_keto_beta_B(12),4,655,0,106,0,13,1,387
19273,CC1CC2C3CCC(C3(CC(=O)C2C4(C1=CC(=O)CC4)C)C)C(=O)C, , ,steroid_A(2),0,276,0,44,0,2,0,158
21552,CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CC3=CC=C(C=C3)N, ,anil_no_alk(40), ,2,572,0,96,0,10,2,346
43640,COC1=CC=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42, ,amino_acridine_A(46), ,36,500,10,90,1,7,17,291
47508,CC(=O)NC1=CC=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42, ,amino_acridine_A(46), ,75,677,25,123,1,11,25,387
53313,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CN=CC=C4, ,amino_acridine_A(46), ,15,500,0,88,1,7,12,293
53329,COC1=CC=CC=C1NC2=C3C=CC=CC3=NC4=CC=CC=C42, ,amino_acridine_A(46), ,37,516,10,92,2,11,19,304
68183,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)N)C4=CC=C(C=C4)N, , ,anil_di_alk_F(14),3,499,1,91,0,7,0,287
70846,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=CC=C(C=C3)Cl, ,keto_keto_beta_A(68), ,11,571,8,114,0,23,1,326
71024,C1=CC=C2C(=C1)NC3=CC=CC=C3S2(=O)=O, , ,het_thio_666_A(13),2,495,0,85,0,7,0,291
72628,CC1(NC2=CC=CC3=C2C(=CC=C3)N1)C, ,naphth_amino_B(25), ,7,281,0,41,0,2,6,163
73822,C1C(=O)N(C(=S)S1)C2=CC=CC=C2, ,rhod_sat_A(33), ,0,299,0,46,0,6,0,165
79793,C1C(=O)N(C(=S)S1)CC(=O)O, ,rhod_sat_A(33), ,3,468,0,85,0,7,1,256
82498,CC(C)(C)C1=CC=C(C=C1)OC2=CC=C(C=C2)N, ,anil_no_alk(40), ,64,688,45,136,0,13,8,389
87335,CC1=CC(=C(C=C1)N)C(=O)C2=CC=CC=C2, ,anthranil_one_A(38), ,3,682,0,113,0,14,2,405
95022,C1=CC=C(C=C1)C(=O)C2C(=O)C3=CC=CC=C3C2=O, ,keto_keto_beta_A(68), ,4,796,0,125,0,24,3,472
96308,C1=CC(=CC=C1CSC2=CC=C(C=C2)Cl)N, ,anil_no_alk(40), ,5,628,3,107,0,11,3,369
96784,C1=CC=C(C=C1)SCC2=CC=C(C=C2)N, ,anil_no_alk(40), ,4,276,1,44,0,2,3,159
97864,C1C(N=C(NC1=O)N)C2=CC=CC=C2, , ,het_6_hydropyridone(1),0,283,0,44,0,2,0,160
99466,C1C(=O)N(C(=S)S1)C2=CC(=C(C=C2)Cl)Cl, ,rhod_sat_A(33), ,7,461,1,87,0,7,1,254
99599,C1C(=O)N(C(=S)S1)C2=CC(=CC=C2)Cl, ,rhod_sat_A(33), ,6,494,0,83,0,7,0,287
99677,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Br)N, ,anthranil_one_A(38), ,9,645,0,104,0,11,2,379
114298,CC[N+]1=C(C=CC2=C1C=CC(=C2)OC)SCC.[I-], ,het_pyridiniums_A(39), ,30,635,4,104,0,11,17,378
137753,COC1=CC2=[N+](C3=CC=CC=C3N=C2C=C1)[O-], ,het_pyridiniums_A(39), ,23,302,4,47,0,2,18,176
140917,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)O)O)N, , ,anil_di_alk_F(14),22,512,4,91,0,10,12,301
145758,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCO, ,amino_acridine_A(46), ,64,675,23,129,0,11,24,387
148870,CCCS(=O)(=O)NC1=CC(=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42)OC.CS(=O)(=O)O, ,amino_acridine_A(46), ,81,373,19,57,0,2,13,164
150655,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCCO, ,amino_acridine_A(46), ,84,556,31,112,1,7,36,321
153434,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC=C(C=C4)C(=O)O.Cl, ,amino_acridine_A(46), ,12,494,2,88,0,7,7,289
168083,CCCCC1(C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3)CO, , ,keto_keto_beta_B(12),1,571,0,94,0,10,0,338
204177,CC1=CC(=C(C=C1)C)C2C(=O)C3=CC=CC=C3C2=O, ,keto_keto_beta_A(68), ,2,492,0,88,0,7,2,286
211701,C1C(=O)N(C(=S)S1)C2=CC(=CC=C2)O, ,rhod_sat_A(33), ,15,472,2,86,0,7,3,260
